List Of All Solo,,,,,,,,,
,,,,,,,,,
Nr,Map,Time,Players,Hero,Area,New Better time or its duplicit,Accepted,Comments,Dates
212,QQ_old,13.39,Maikri,Rameses,81,FALSE,FALSE,,07.mai.20
213,QQ_old,13.44,Fortish,Rameses,81,FALSE,TRUE,,12.nov.19
214,QQ_old,14.05,Jackal,Mirage,81,FALSE,TRUE,,21.dec.19
215,QQ_old,15.19,Smiley,Cent,81,FALSE,TRUE,,28 May 20
216,QQ_old,16.04,Valinor1234,Rameses,81,FALSE,TRUE,,19 Feb 20
217,QQ_old,16.06,Strat,Rameses,81,FALSE,TRUE,,16 Jan 19
218,FF,6.06,Shoyas,Mirage,41,TRUE,TRUE,,20.okt.20
219,FF,7.12,Maikri,Reaper,41,FALSE,FALSE,,07.sep.20
220,FF,7.20,Creazy,Reaper,41,FALSE,TRUE,,20.okt.20
221,FF,7.34,Smiley,Chrono,41,FALSE,FALSE,C,7.aug.20
222,FF,7.50,TheTroll,Reaper,41,TRUE,TRUE,,19.apr.20
223,FF,8.28,TUFE,Reaper,41,FALSE,TRUE,,07.okt.20
224,FF,8.40,Jackal,Cent,41,FALSE,TRUE,,15.okt.20
225,FF,9.09,Amasterclasher,Cent,41,FALSE,TRUE,,07.okt.20
226,FF,9.13,tтеуmlI,Reaper,41,FALSE,FALSE,Ban idk why longer,15 Jun 20
227,FF,9.17,Ventinari,Reaper,41,FALSE,TRUE,,11.sep.20
228,OO_old,6.27,Pentagonis,Necro,16,TRUE,TRUE,Nerf Map,24 Aug 20
229,OO_old,8.40,Pasemrus,Necro,16,FALSE,TRUE,Nerf Map,07 okt 20
230,OO_old,10.51,Maikri,Necro,16,FALSE,TRUE,Nerf Map +,09 Jul 20
231,OO_old,11.11,Harmony556,Necro,16,FALSE,TRUE,Nerf Map,7 May 20
232,OO_old,12.04,снегири,Necro,16,FALSE,TRUE,Nerf Map,3 Jun 20
233,OO_old,13.29,Smiley,Necro,16,TRUE,TRUE,Nerf Map,11 Aug 20
234,OO_old,13.59,Vikenti,Necro,16,FALSE,TRUE,Nerf Map,13 Jun 20
235,OO_old,14.47,Pro,Necro,16,FALSE,TRUE,Nerf Map,25 Jun 20
236,OO_old,15.39,maxim22,Necro,16,FALSE,TRUE,Nerf Map,27 Jul 20
237,OO,18.37,Gor4itca,Cent,16,FALSE,TRUE,,19 May 20
238,RR,10.40,Shoyas,Mirage,43,FALSE,TRUE,,21.okt.20
239,RR,10.57,TheTroll,Mirage,43,TRUE,TRUE,,20.feb.20
240,RR,12.28,Jackal,Mirage,43,FALSE,TRUE,,21.aug.20
241,RR,13.37,yo,Mirage,43,FALSE,TRUE,,29.Dec.19
242,RR,15.05,Fortish,Reaper,43,FALSE,TRUE,,30.mar.20
243,RR,16.18,Sparrow,,43,FALSE,FALSE,,27 Apr 19
244,RR,16.37,tтеуmlI,Ghoul,43,FALSE,FALSE,Ban,16.jūn.20
245,RR,16.53,Smiley,Rameses,43,FALSE,TRUE,,19.mar.20
246,RR,17.13,R0YqL,Rameses,43,FALSE,TRUE,,13.aug.20
247,RR,17.42,Gianni,Rameses,43,FALSE,TRUE,,27 Mar 20
248,MM480,126.09,снегири,Rameses,453,TRUE,TRUE,,24.aug.20
249,MM480,120.43,Maikri,Rameses,452,FALSE,FALSE,,13.aug.20
250,MM480,97.14,AWEN,Rameses,449,TRUE,TRUE,,03.apr.20
